43529143,1,0,1
43628446,1,0,0
43629146,1,0,1
43728443,1,0,0
43729086,5,112,0
43729390,0,0,0
43729759,5,113,0
43730396,0,10,4
43730632,0,0,1
43731326,1,0,1
43731666,5,140,2
43731991,0,2,3
43732461,0,0,4
43732697,0,2,1
43732996,5,147,0
43756588,5,146,1
43756945,5,147,0
43780538,5,142,1
43780867,5,143,0
43781101,5,142,2
43781430,5,143,0
43781662,5,114,2
43781961,0,2,5
43782621,0,0,1
43782929,5,141,0
43828443,1,0,0
43829143,1,0,1
43830920,5,114,0
43831219,0,0,5
43831871,0,10,1
43928443,1,0,0
43929143,1,0,1
44028446,1,0,0
44029089,5,112,0
44029393,0,0,0
44029775,5,113,0
44030412,0,10,4
44030648,0,0,1
44031342,1,0,1
44031685,5,140,2
44043729,5,141,7
44090665,5,114,0
44090964,0,0,5
44091626,0,10,1
44128443,1,0,0
44129143,1,0,1
44228445,1,0,0
44229141,1,0,1
44328444,1,0,0
44329087,5,112,0
44329391,0,0,0
44329761,5,113,0
44330394,0,10,4
44330630,0,0,1
44331324,1,0,1
44428450,1,0,0
44429154,1,0,1
44478389,5,114,0
44478688,0,0,5
44479340,0,10,1
44528445,1,0,0
44529149,1,0,1
44628446,1,0,0
44629089,5,112,0
44629393,0,0,0
44629775,5,113,0
44630408,0,10,4
44630644,0,0,1
44631338,1,0,1
44631679,5,112,2
44631983,0,2,0
44632439,0,0,4
44632675,0,2,1
44633403,5,146,1
44633847,0,2,2
44634298,0,0,1
44634600,5,113,0
44681532,5,114,0
44681831,0,0,5
44682491,0,10,1
44728443,1,0,0
44729139,1,0,1
44828443,1,0,0
44829139,1,0,1
44928443,1,0,0
44929086,5,112,0
44929390,0,0,0
44929759,5,113,0
44930392,0,10,4
44930628,0,0,1
44931322,1,0,1
44931665,5,112,8
44931969,0,8,0
44932437,0,0,4
44932673,0,8,1
44933395,5,136,0
44933957,3,0,0
44934213,5,137,0
44960177,5,138,0
44960691,3,0,1
44961072,5,139,0
44961308,5,114,8
44961607,0,8,5
44962262,0,0,1
44962564,5,113,0
45009492,5,114,0
45009791,0,0,5
45010443,0,10,1
45028443,1,0,0
45029143,1,0,1
45128446,1,0,0
45129142,1,0,1
45228444,1,0,0
45229087,5,112,0
45229391,0,0,0
45229773,5,113,0
45230451,0,10,4
45230687,0,0,1
45231381,1,0,1
45231721,5,140,2
45232046,0,2,3
45232508,0,0,4
45232744,0,2,1
45233043,5,147,0
45256635,5,146,1
45256992,5,147,0
45280585,5,142,1
45280914,5,143,0
45281148,5,142,2
45281477,5,143,0
45281709,5,114,2
45282008,0,2,5
45282671,0,0,1
45282979,5,141,0
45328443,1,0,0
45329139,1,0,1
45330961,5,114,0
45331260,0,0,5
45331914,0,10,1
45428443,1,0,0
45429082,5,112,5
45429386,0,5,0
45429756,5,113,0
45430492,0,10,4
45430728,0,5,1
45431422,1,0,1
45431768,5,116,8
45432096,0,5,5
45432459,0,8,0
45433082,0,8,1
45433804,5,136,0
45434366,3,0,0
45434622,5,137,0
45462919,5,138,0
45463433,3,0,1
45463814,5,139,0
45464050,5,114,8
45464349,0,8,5
45464997,0,10,1
45528446,1,0,0
45529083,5,112,0
45529387,0,0,0
45529756,5,113,0
45530386,0,10,4
45530622,0,0,1
45531316,1,0,1
45531659,5,112,3
45531963,0,3,0
45532431,0,0,4
45532667,0,3,1
45552141,5,114,3
45552431,0,3,5
45553094,0,0,1
45553396,5,113,0
45600324,5,114,0
45600614,0,0,5
45601266,0,10,1
45628444,1,0,0
45629144,1,0,1
45728443,1,0,0
45729143,1,0,1
45828445,1,0,0
45829088,5,112,0
45829392,0,0,0
45829774,5,113,0
45830411,0,10,4
45830647,0,0,1
45831341,1,0,1
45831684,5,140,2
45843728,5,141,7
45890664,5,114,0
45890963,0,0,5
45891625,0,10,1
45928443,1,0,0
45929143,1,0,1
46028446,1,0,0
46029142,1,0,1
46128444,1,0,0
46129087,5,112,0
46129391,0,0,0
46129761,5,113,0
46130394,0,10,4
46130630,0,0,1
46131324,1,0,1
46131667,5,112,8
46131971,0,8,0
46132439,0,0,4
46132675,0,8,1
46133396,5,136,0
46133958,3,0,0
46134214,5,137,0
46167178,5,138,0
46167692,3,0,1
46168073,5,139,0
46168309,5,114,8
46168608,0,8,5
46169259,0,0,1
46169561,5,113,0
46216489,5,114,0
46216788,0,0,5
46217440,0,10,1
46228443,1,0,0
46229143,1,0,1
46328446,1,0,0
46329142,1,0,1
46428444,1,0,0
46429087,5,112,0
46429391,0,0,0
46429764,5,113,0
46430397,0,10,4
46430633,0,0,1
46431327,1,0,1
46431665,5,112,2
46431969,0,2,0
46432425,0,0,4
46432661,0,2,1
46433388,5,146,1
46433833,0,2,2
46434284,0,0,1
46434586,5,113,0
46481519,5,114,0
46481818,0,0,5
46482478,0,10,1
46528443,1,0,0
46529139,1,0,1
46628443,1,0,0
46629139,1,0,1
46728443,1,0,0
46729086,5,112,0
46729390,0,0,0
46729760,5,113,0
46730393,0,10,4
46730629,0,0,1
46731323,1,0,1
46731663,5,140,2
46731988,0,2,3
46732458,0,0,4
46732694,0,2,1
46732994,5,147,0
46756586,5,146,1
46756943,5,147,0
46780536,5,142,1
46780865,5,143,0
46781099,5,142,2
46781428,5,143,0
46781660,5,114,2
46781959,0,2,5
46782611,0,0,1
46782919,5,141,0
46828443,1,0,0
46829139,1,0,1
46830905,5,114,0
46831204,0,0,5
46831856,0,10,1
46928444,1,0,0
46929140,1,0,1
47028443,1,0,0
47029086,5,112,0
47029390,0,0,0
47029763,5,113,0
47030396,0,10,4
